2018-09-04 14:20:13,092:DEBUG    


2018-09-04 14:20:13,092:INFO     SERVICE INITIALIZED
2018-09-04 14:20:42,382:DEBUG    LOG =DEBUG
2018-09-04 14:20:42,384:DEBUG    DcDcConverter module imported
2018-09-04 14:20:42,385:INFO     DCDCUsbLib DLL loaded successfully
2018-09-04 14:20:42,387:DEBUG    Resource handle: <CDLL 'c:\git_files\oc-lte-testbench\src\opentest\opentest\services\support\dcsupply_dll\DCDCUsbLib.dll', handle 19580000 at 4c6da50>
2018-09-04 14:20:42,390:INFO     Connected to DC-DC converter with devcount: 1
2018-09-04 14:20:42,391:DEBUG    Device path: \\?\hid#vid_04d8&pid_d003&col02#8&5f770bb&0&0001#{4d1e55b2-f16f-11cf-88cb-001111000030}
2018-09-04 14:20:42,492:DEBUG    SUCCESS
2018-09-04 14:20:42,493:INFO     SERVICE CONFIGURATION - LOG =DEBUG - SUCCESS (0.11 s)
2018-09-04 14:20:45,039:DEBUG    Vout=12.00
2018-09-04 14:20:45,042:INFO     SERVICE HANDLING - Vout=12.00 (0.0 s)
2018-09-04 14:20:45,049:DEBUG    Out ON=True
2018-09-04 14:20:45,151:INFO     SERVICE HANDLING - Out ON=True (0.1 s)
2018-09-04 14:20:49,278:DEBUG    Out ON=False
2018-09-04 14:20:49,384:INFO     SERVICE HANDLING - Out ON=False (0.11 s)
